Sun Apr 11 10:59:12 2021    output.dat

         6733 function calls (6730 primitive calls) in 0.071 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
1059/1058    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      513    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
      331    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      322    0.000    0.000    0.000    0.000 C:\Users\pablo\anaconda3\envs\tfg\lib\site-packages\numpy\lib\_iotools.py:11(_decode_line)
      319    0.000    0.000    0.000    0.000 C:\Users\pablo\anaconda3\envs\tfg\lib\site-packages\numpy\core\_internal.py:871(__call__)
      319    0.000    0.000    0.000    0.000 C:\Users\pablo\anaconda3\envs\tfg\lib\site-packages\numpy\lib\npyio.py:961(split_line)
      319    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
      319    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      316    0.000    0.000    0.000    0.000 C:\Users\pablo\anaconda3\envs\tfg\lib\site-packages\numpy\lib\npyio.py:730(floatconv)
      316    0.000    0.000    0.000    0.000 C:\Users\pablo\anaconda3\envs\tfg\lib\site-packages\numpy\lib\npyio.py:944(pack_items)
      316    0.000    0.000    0.000    0.000 C:\Users\pablo\anaconda3\envs\tfg\lib\site-packages\numpy\lib\npyio.py:997(<listcomp>)
      316    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      315    0.058    0.000    0.058    0.000 {built-in method builtins.print}
      163    0.001    0.000    0.001    0.000 {built-in method numpy.array}
      159    0.001    0.000    0.001    0.000 {method 'astype' of 'numpy.ndarray' objects}
      157    0.004    0.000    0.004    0.000 main2.py:102(<listcomp>)
      157    0.002    0.000    0.004    0.000 D:\Bibliotecas\Code\Projects\2021\Python\01 Working Projects\TFG\tfg-Scan-Paint-clone\package\services\grid.py:45(locate_point)
       94    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
       60    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
       39    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       33    0.000    0.000    0.000    0.000 C:\Users\pablo\anaconda3\envs\tfg\lib\ntpath.py:124(splitdrive)
       32    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       30    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       29    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       27    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       24    0.000    0.000    0.000    0.000 C:\Users\pablo\anaconda3\envs\tfg\lib\urllib\parse.py:99(_noop)
       24    0.000    0.000    0.000    0.000 C:\Users\pablo\anaconda3\envs\tfg\lib\urllib\parse.py:110(_coerce_args)
       18    0.000    0.000    0.001    0.000 C:\Users\pablo\anaconda3\envs\tfg\lib\site-packages\numpy\lib\_datasource.py:104(_load)
       18    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
